address,block,countyfp,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract,matchsource,Coordinates,On Tribe Land,Assoc Tribe,Assoc Res,FDA_match,id,FDA_dist_miles,FDA_coord,Niel_id,TDLinx Store Code,File Date,Store Status Indicator,bizname,Store Number,paddress1,pcity,pstate,pzip,Store Place Name,Store State FIPS Code ,Store County FIPS Code ,Store Country Name,Trade Channel Code,Sub-Channel Code,Number of Stores/Outlets Code,Chain Indicator,Area Code,Phone Number,Store Volume ,Weekly Volume (000s),Area of Selling Space ,Full Time Employee Equivalents,Number of Checkouts,TDLinx Account Code for the Owner/Company,Retail Family Code for the Owner/Company,Owner Name,Owner City,Owner State ,Owner State FIPS Code,Owner County FIPS Code,TDLinx Account Code for the Marketing Group ,Marketing Group Name,Non-Corporate Owned,paddress2,FDA_id
"425 S Sunrise Way, Palm Springs, CA, 92262",,,33.817565,-116.52860420000002,True,ROOFTOP,,,,,,Google,POINT (-116.5286042 33.817565),Yes,Agua Caliente,Agua Caliente Indian Reservation,False,,,GEOMETRYCOLLECTION EMPTY,1785570,1785570,20181214,O-Open Store,CVS PHARMACY,9804,425 S SUNRISE WAY,PALM SPRINGS,CA,92262,Palm Springs,6,65,USA,03-Drug,3-Conventional Drug,K-501+ Stores,C-Chain Store,760.0,3222784.0,"08-$8,000,001 to $12,000,000",225,12,0,0,208078,95266,CVS Division 8,Woonsocket,RI,44.0,7.0,149925,CVS Pharmacy,N,,
"2514 S Isabella Rd, Mount Pleasant, MI, 48858",,,43.6042704,-84.74713,True,ROOFTOP,,,,,,Google,POINT (-84.74713 43.6042704),Yes,Isabella,Isabella Reservation,False,,,GEOMETRYCOLLECTION EMPTY,1532334,1532334,20181214,O-Open Store,LIQUOR CENTRAL,,2514 S ISABELLA RD,MOUNT PLEASANT,MI,48858,Mount Pleasant,26,73,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,989.0,7728110.0,"02-$500,001 to $1,000,000",15,3,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"516 Main St, Onamia, MN, 56359",2100.0,95.0,46.070625,-93.66652,True,Exact,"516 MAIN ST, ONAMIA, MN, 56359",R,27.0,163055537.0,970200.0,Census,POINT (-93.66652000000001 46.070625),Yes,Mille Lacs,Mille Lacs Reservation,False,,,GEOMETRYCOLLECTION EMPTY,664663,664663,20181214,O-Open Store,ONAMIA DRUG,,516 MAIN ST,ONAMIA,MN,56359,Onamia,27,95,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,320.0,5323633.0,"02-$500,001 to $1,000,000",15,3,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"208 Wall St S, Onamia, MN, 56359",,,46.0700904,-93.6599946,True,ROOFTOP,,,,,,Google,POINT (-93.6599946 46.0700904),Yes,Mille Lacs,Mille Lacs Reservation,False,,,GEOMETRYCOLLECTION EMPTY,1406880,1406880,20181214,O-Open Store,LITKES LIQUORS,,208 WALL ST S,ONAMIA,MN,56359,Onamia,27,95,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,320.0,5323035.0,"03-$1,000,001 to $1,500,000",20,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"617 N Federal Blvd, Riverton, WY, 82501",,,43.0298474,-108.3806295,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-108.3806295 43.0298474),Yes,Wind River,Wind River Reservation,False,,,GEOMETRYCOLLECTION EMPTY,1483000,1483000,20181214,O-Open Store,WOODWARDS LIQUOR STORE,,617 N FEDERAL BLVD,RIVERTON,WY,82501,Riverton,56,13,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,307.0,8564006.0,"01-$1 to $500,000",9,3,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"205 Main St W, Isle, MN, 56342",,,46.1414474,-93.4619825,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-93.4619825 46.1414474),Yes,Mille Lacs,Mille Lacs Reservation,False,,,GEOMETRYCOLLECTION EMPTY,657975,657975,20181214,O-Open Store,THOMPSONS LAKE COUNTRY DRUG,,205 MAIN ST W,ISLE,MN,56342,Isle,27,95,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,320.0,6763115.0,"02-$500,001 to $1,000,000",15,3,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"213 H St E, Poplar, MT, 59255",,,48.1149826,-105.1923879,True,ROOFTOP,,,,,,Google,POINT (-105.1923879 48.1149826),Yes,Fort Peck,Fort Peck Indian Reservation,False,,,GEOMETRYCOLLECTION EMPTY,2955641,2955641,20181214,O-Open Store,POPLAR PHARMACY,,213 H ST E,POPLAR,MT,59255,Poplar,30,85,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,406.0,7686147.0,"02-$500,001 to $1,000,000",15,8,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"7001 State Route 155, Omak, WA, 98841",,,48.3681006,-119.3209594,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-119.3209594 48.3681006),Yes,Colville,Colville Reservation,False,,,GEOMETRYCOLLECTION EMPTY,7010537,7010537,20181214,O-Open Store,UNTIL WE MEET AGAIN,,7001 STATE ROUTE 155,OMAK,WA,98841,Omak,53,47,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,509.0,3224281.0,"02-$500,001 to $1,000,000",10,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"3965 E River Rd, Mount Pleasant, MI, 48858",,,43.628078,-84.7686219,True,ROOFTOP,,,,,,Google,POINT (-84.7686219 43.628078),Yes,Isabella,Isabella Reservation,False,,,GEOMETRYCOLLECTION EMPTY,7492787,7492787,20181214,O-Open Store,RIVER ROAD LIQUOR STORE,,3965 E RIVER RD,MOUNT PLEASANT,MI,48858,Mount Pleasant,26,73,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,989.0,3170768.0,"02-$500,001 to $1,000,000",10,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"1204 Hwy 371, Gallup, NM, 87301",,,35.5232681,-108.1331075,True,ROOFTOP,,,,,,Google,POINT (-108.1331075 35.5232681),Yes,Navajo Nation,Navajo Nation Off-Reservation Trust Land,False,,,GEOMETRYCOLLECTION EMPTY,2222404,2222404,20181214,O-Open Store,RED ROCK PACKAGE,,1204 HWY 371,GALLUP,NM,87301,Gallup,35,31,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,505.0,7865320.0,"05-$2,000,001 to $4,000,000",40,4,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
