address,block,countyfp,id,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract,matchsource,Coordinates,On Tribe Land,Assoc Tribe,Assoc Res
"425 S Sunrise Way, Palm Springs, CA, 92262",,,1785570,33.817565,-116.52860420000002,True,ROOFTOP,,,,,,Google,POINT (-116.5286042 33.817565),Yes,Agua Caliente,Agua Caliente Indian Reservation
"2303 State Highway 113, Waubun, MN, 56589",,,7440237,47.1789156,-95.78281319999999,True,ROOFTOP,,,,,,Google,POINT (-95.78281319999999 47.1789156),Yes,White Earth,White Earth Reservation
"2514 S Isabella Rd, Mount Pleasant, MI, 48858",,,1532334,43.6042704,-84.74713,True,ROOFTOP,,,,,,Google,POINT (-84.74713 43.6042704),Yes,Isabella,Isabella Reservation
"516 Main St, Onamia, MN, 56359",2100.0,95.0,664663,46.070625,-93.66651999999999,True,Exact,"516 MAIN ST, ONAMIA, MN, 56359",R,27.0,163055537.0,970200.0,Census,POINT (-93.66651999999999 46.070625),Yes,Mille Lacs,Mille Lacs Reservation
"208 Wall St S, Onamia, MN, 56359",,,1406880,46.0700904,-93.6599946,True,ROOFTOP,,,,,,Google,POINT (-93.6599946 46.0700904),Yes,Mille Lacs,Mille Lacs Reservation
"617 N Federal Blvd, Riverton, WY, 82501",,,1483000,43.0298474,-108.3806295,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-108.3806295 43.0298474),Yes,Wind River,Wind River Reservation
"205 Main St W, Isle, MN, 56342",,,657975,46.1414474,-93.46198249999999,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-93.46198249999999 46.1414474),Yes,Mille Lacs,Mille Lacs Reservation
"213 H St E, Poplar, MT, 59255",,,2955641,48.1149826,-105.1923879,True,ROOFTOP,,,,,,Google,POINT (-105.1923879 48.1149826),Yes,Fort Peck,Fort Peck Indian Reservation
"7001 State Route 155, Omak, WA, 98841",,,7010537,48.3681006,-119.3209594,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-119.3209594 48.3681006),Yes,Colville,Colville Reservation
"3965 E River Rd, Mount Pleasant, MI, 48858",,,7492787,43.628078,-84.7686219,True,ROOFTOP,,,,,,Google,POINT (-84.7686219 43.628078),Yes,Isabella,Isabella Reservation
"1204 Hwy 371, Gallup, NM, 87301",,,2222404,35.5232681,-108.1331075,True,ROOFTOP,,,,,,Google,POINT (-108.1331075 35.5232681),Yes,Navajo Nation,Navajo Nation Off-Reservation Trust Land
"406 Main Ave, Callaway, MN, 56521",2175.0,5.0,1406797,46.980907,-95.9093,True,Exact,"406 MAIN AVE, CALLAWAY, MN, 56521",R,27.0,167949342.0,940000.0,Census,POINT (-95.9093 46.980907),Yes,White Earth,White Earth Reservation
"68 Cities Of Gold Rd, Santa Fe, NM, 87506",1056.0,49.0,7180668,35.883945000000004,-106.01413000000001,True,Exact,"68 CITIES OF GOLD RD, SANTA FE, NM, 87506",R,35.0,169429077.0,940600.0,Census,POINT (-106.01413 35.883945),Yes,Pojoaque,Pueblo of Pojoaque
"775 Hwy 59 S, Mahnomen, MN, 56557",,,1407020,47.3218064,-95.9657009,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-95.9657009 47.3218064),Yes,White Earth,White Earth Reservation
"300 1st Ave, Poplar, MT, 59255",4064.0,85.0,1465936,48.11023,-105.19548999999999,True,Non_Exact,"300 1ST AVE W, POPLAR, MT, 59255",L,30.0,642071801.0,940002.0,Census,POINT (-105.19549 48.11023),Yes,Fort Peck,Fort Peck Indian Reservation
"6326 33rd Ave NE, Marysville, WA, 98271",3060.0,61.0,7577825,48.054024,-122.18723999999999,True,Exact,"6326 33RD AVE NE, MARYSVILLE, WA, 98271",L,53.0,617670219.0,940001.0,Census,POINT (-122.18724 48.054024),Yes,Tulalip,Tulalip Reservation
"840 W Main St, Riverton, WY, 82501",,,1416257,43.024772399999996,-108.402685,True,ROOFTOP,,,,,,Google,POINT (-108.402685 43.0247724),Yes,Wind River,Wind River Reservation
"Main St, Eagle Butte, SD, 57625",,,1447562,44.9996164,-101.23479040000001,True,GEOMETRIC_CENTER,,,,,,Google,POINT (-101.2347904 44.9996164),Yes,Cheyenne River,Cheyenne River Reservation
"209 Main St, New Effington, SD, 57255",3134.0,109.0,2457492,45.85668,-96.92011,True,Exact,"209 MAIN ST, NEW EFFINGTON, SD, 57255",L,46.0,196102626.0,940700.0,Census,POINT (-96.92010999999999 45.85668),Yes,Lake Traverse,Lake Traverse Reservation
"2459 Sioux Trl NW, Prior Lake, MN, 55372",1053.0,139.0,1406795,44.73703,-93.47097,True,Exact,"2459 SIOUX TRL NW, PRIOR LAKE, MN, 55372",L,27.0,38141458.0,80903.0,Census,POINT (-93.47096999999999 44.73703),Yes,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Community
"18341 US Highway 41, LAnse, MI, 49946",,,3952600,46.7319,-88.4245558,True,GEOMETRIC_CENTER,,,,,,Google,POINT (-88.42455579999999 46.7319),Yes,L'Anse,L'Anse Reservation
"117 S Toppenish Ave, Toppenish, WA, 98948",,,623470,46.375458,-120.31153789999999,True,ROOFTOP,,,,,,Google,POINT (-120.3115379 46.375458),Yes,Yakama Nation,Yakama Nation Reservation
"411 Main St, Ogema, MN, 56569",,,1425854,47.102951899999994,-95.9254987,True,ROOFTOP,,,,,,Google,POINT (-95.92549870000001 47.10295189999999),Yes,White Earth,White Earth Reservation
"104 N Main St, Wahkon, MN, 56386",3020.0,95.0,7368544,46.11833,-93.52099,True,Exact,"104 MAIN ST, WAHKON, MN, 56386",R,27.0,163056072.0,970100.0,Census,POINT (-93.52099 46.11833),Yes,Mille Lacs,Mille Lacs Reservation
"425 Hwy 264 Ste A, Gallup, NM, 87301",,,1631419,35.66344470000001,-109.0558111,True,ROOFTOP,,,,,,Google,POINT (-109.0558111 35.66344470000001),Yes,Navajo Nation,Navajo Nation Reservation
"3070 Scenic Hwy NE, Pennington, MN, 56663",1121.0,7.0,2043953,47.49308,-94.479675,True,Exact,"3070 SCENIC HWY NE, PENNINGTON, MN, 56663",R,27.0,176407936.0,940002.0,Census,POINT (-94.479675 47.49308),Yes,Leech Lake,Leech Lake Reservation
"103 Bent St, Taos, NM, 87571",5037.0,55.0,1408983,36.40828,-105.57263,True,Exact,"103 BENT ST, TAOS, NM, 87571",R,35.0,159934354.0,940100.0,Census,POINT (-105.57263 36.40828),Yes,Taos,Taos Pueblo
"3194 Us Highway 59, Waubun, MN, 56589",1232.0,87.0,1929116,47.1799,-95.9331,True,Exact,"3194 US HWY 59, WAUBUN, MN, 56589",R,27.0,168228243.0,940300.0,Census,POINT (-95.9331 47.1799),Yes,White Earth,White Earth Reservation
"4112 State Route 105, Tokeland, WA, 98590",,,7507165,46.725016499999995,-124.02067079999999,True,ROOFTOP,,,,,,Google,POINT (-124.0206708 46.7250165),Yes,Shoalwater Bay,Shoalwater Bay Indian Reservation
"1102 Paseo Del Pueblo Norte, El Prado, NM, 87529",,,801676,36.4287226,-105.57531270000001,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-105.5753127 36.4287226),Yes,Taos,Taos Pueblo
"1200 W Main St, Riverton, WY, 82501",,,1482974,43.02547379999999,-108.4089669,True,ROOFTOP,,,,,,Google,POINT (-108.4089669 43.02547379999999),Yes,Wind River,Wind River Reservation
"1717 E Vista Chino Ste B2, Palm Springs, CA, 92262",2005.0,65.0,1799841,33.844852,-116.52793,True,Non_Exact,"1717 E VIS CHINO, PALM SPRINGS, CA, 92262",R,6.0,194763095.0,941200.0,Census,POINT (-116.52793 33.844852),Yes,Agua Caliente,Agua Caliente Indian Reservation
"15503 Hwy 2, Williston, ND, 58801",,,7174884,48.135749,-104.03983609999999,True,ROOFTOP,,,,,,Google,POINT (-104.0398361 48.135749),Yes,Turtle Mountain,Turtle Mountain Off-Reservation Trust Land
"5114 E Pickard St, Mount Pleasant, MI, 48858",,,681075,43.6113609,-84.7460875,True,ROOFTOP,,,,,,Google,POINT (-84.7460875 43.6113609),Yes,Isabella,Isabella Reservation
"151 E Main St, Duchesne, UT, 84021",2083.0,13.0,1447294,40.163483,-110.39873500000002,True,Exact,"151 E MAIN ST, DUCHESNE, UT, 84021",L,49.0,133579252.0,940300.0,Census,POINT (-110.398735 40.163483),Yes,Uintah and Ouray,Uintah and Ouray Reservation
"1109 S Palm Canyon Dr, Palm Springs, CA, 92264",,,1398124,33.807465,-116.5459175,True,ROOFTOP,,,,,,Google,POINT (-116.5459175 33.807465),Yes,Agua Caliente,Agua Caliente Indian Reservation
"3395 State Highway 200, Mahnomen, MN, 56557",2111.0,87.0,3803568,47.325226,-95.55192,True,Exact,"3395 STATE HWY 200, MAHNOMEN, MN, 56557",L,27.0,168230114.0,940300.0,Census,POINT (-95.55192 47.325226),Yes,White Earth,White Earth Reservation
"719 E Hickory St, Sisseton, SD, 57262",,,1413925,45.6602561,-97.04161479999999,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-97.04161479999999 45.6602561),Yes,Lake Traverse,Lake Traverse Reservation
"30 Buffalo Thunder Trl, Santa Fe, NM, 87506",1075.0,49.0,7405499,35.85934,-105.99493000000001,True,Exact,"30 BUFFALO THUNDER TRL, SANTA FE, NM, 87506",R,35.0,641142813.0,940600.0,Census,POINT (-105.99493 35.85934),Yes,Pojoaque,Pueblo of Pojoaque
"708 Lyle Chisholm Dr, Cass Lake, MN, 56633",,,1407094,47.3820139,-94.613975,True,ROOFTOP,,,,,,Google,POINT (-94.613975 47.3820139),Yes,Leech Lake,Leech Lake Reservation
"6838 Y Frontage Rd NW, Walker, MN, 56484",1034.0,21.0,1426008,47.053978,-94.541504,True,Exact,"6838 Y FRONTAGE RD NW, WALKER, MN, 56484",R,27.0,162752938.0,940001.0,Census,POINT (-94.541504 47.053978),Yes,Leech Lake,Leech Lake Reservation
"2509 Highway 395 S, Chewelah, WA, 99109",,,7293701,48.2415967,-117.7145811,True,ROOFTOP,,,,,,Google,POINT (-117.7145811 48.2415967),Yes,Spokane,Spokane Off-Reservation Trust Land
"1510 Us 2 NE, Bena, MN, 56626",,,7603339,47.346293,-94.208881,True,ROOFTOP,,,,,,Google,POINT (-94.20888100000001 47.346293),Yes,Leech Lake,Leech Lake Reservation
"611 S Palm Canyon Dr Ste 1, Palm Springs, CA, 92264",1003.0,65.0,1830459,33.801353000000006,-116.54109,True,Non_Exact,"611 E PALM CANYON DR, PALM SPRINGS, CA, 92264",R,6.0,194762186.0,940800.0,Census,POINT (-116.54109 33.80135300000001),Yes,Agua Caliente,Agua Caliente Indian Reservation
"440 S El Cielo Rd Ste B1, Palm Springs, CA, 92262",1040.0,65.0,697531,33.817944,-116.51066000000002,True,Non_Exact,"440 S EL CIELO RD, PALM SPRINGS, CA, 92262",L,6.0,195066844.0,941200.0,Census,POINT (-116.51066 33.817944),Yes,Agua Caliente,Agua Caliente Indian Reservation
"709 N Federal Blvd, Riverton, WY, 82501",,,744183,43.0307745,-108.3796678,True,ROOFTOP,,,,,,Google,POINT (-108.3796678 43.0307745),Yes,Wind River,Wind River Reservation
"5442 Sycuan Rd, El Cajon, CA, 92019",1033.0,73.0,669492,32.789153999999996,-116.824455,True,Non_Exact,"5442 SYCAUN RD, EL CAJON, CA, 92019",R,6.0,195752421.0,15502.0,Census,POINT (-116.824455 32.789154),Yes,Sycuan,Sycuan Off-Reservation Trust Land
"2470 W Mason St, Green Bay, WI, 54303",1008.0,9.0,435408,44.524002,-88.09298000000001,True,Non_Exact,"2470 W MASON ST, GREEN BAY, WI, 54303",R,55.0,148126318.0,940004.0,Census,POINT (-88.09298000000001 44.524002),Yes,Oneida (WI),Oneida (WI) Reservation
"3900 20th St E, Tacoma, WA, 98424",2057.0,53.0,310227,47.238995,-122.3755,True,Exact,"3900 20TH ST E, TACOMA, WA, 98424",R,53.0,640607812.0,940002.0,Census,POINT (-122.3755 47.238995),Yes,Puyallup,Puyallup Reservation
"12124 W Lakeshore Dr, Brimley, MI, 49715",3001.0,33.0,3930160,46.451626,-84.60215,True,Non_Exact,"12124 W LAKESHORE DR, BRIMLEY, MI, 49715",R,26.0,130566064.0,970600.0,Census,POINT (-84.60214999999999 46.451626),Yes,Bay Mills,Bay Mills Reservation
"3700 E Vista Chino Ste G, Palm Springs, CA, 92262",1005.0,65.0,672622,33.844933000000005,-116.50571399999998,True,Non_Exact,"3700 E VIS CHINO, PALM SPRINGS, CA, 92262",L,6.0,194763357.0,941200.0,Census,POINT (-116.505714 33.844933),Yes,Agua Caliente,Agua Caliente Indian Reservation
"38499 State Highway 46, Deer River, MN, 56636",2095.0,61.0,1640939,47.430244,-94.01013,True,Exact,"38499 STATE HWY 46, DEER RIVER, MN, 56636",R,27.0,611741035.0,940000.0,Census,POINT (-94.01013 47.430244),Yes,Leech Lake,Leech Lake Reservation
"633 W 1st St, Wapato, WA, 98951",3000.0,77.0,7308881,46.447853,-120.42783999999999,True,Exact,"633 W 1ST ST, WAPATO, WA, 98951",L,53.0,184904059.0,940004.0,Census,POINT (-120.42784 46.447853),Yes,Yakama Nation,Yakama Nation Reservation
"32000 County Road 143, Ogema, MN, 56569",1345.0,5.0,7602770,47.04905,-95.721,True,Exact,"32000 CO RD 143, OGEMA, MN, 56569",R,27.0,611259820.0,940000.0,Census,POINT (-95.721 47.04905),Yes,White Earth,White Earth Reservation
"8825 34th Ave NE, Marysville, WA, 98271",,,2211198,48.076991,-122.1863098,True,ROOFTOP,,,,,,Google,POINT (-122.1863098 48.076991),Yes,Tulalip,Tulalip Reservation
"4315 Pacific Hwy E Ste B, Tacoma, WA, 98424",2022.0,53.0,3369140,47.243109999999994,-122.37136000000001,True,Exact,"4315 PACIFIC HWY E, TACOMA, WA, 98424",L,53.0,184731681.0,940002.0,Census,POINT (-122.37136 47.24310999999999),Yes,Puyallup,Puyallup Reservation
"111 S Sunrise Way, Palm Springs, CA, 92262",,,3888584,33.822515100000004,-116.528861,True,ROOFTOP,,,,,,Google,POINT (-116.528861 33.8225151),Yes,Agua Caliente,Agua Caliente Indian Reservation
"7490 S Camino De Oeste, Tucson, AZ, 85746",,,3849720,32.115907199999995,-111.0635895,True,ROOFTOP,,,,,,Google,POINT (-111.0635895 32.1159072),Yes,Pascua Pueblo Yaqui,Pascua Pueblo Yaqui Reservation
"69155 Ramon Rd, Cathedral City, CA, 92234",,,500241,33.813632399999996,-116.4567324,True,ROOFTOP,,,,,,Google,POINT (-116.4567324 33.8136324),Yes,Agua Caliente,Agua Caliente Indian Reservation
"223 Main St, Wolf Point, MT, 59201",,,853896,48.0900322,-105.6400668,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-105.6400668 48.0900322),Yes,Fort Peck,Fort Peck Indian Reservation
"1750 N Littlefield Rd, Weidman, MI, 48893",1038.0,73.0,739732,43.665234000000005,-84.948654,True,Non_Exact,"1750 N LITTLEFIELD RD, WEIDMAN, MI, 48893",R,26.0,635555844.0,940100.0,Census,POINT (-84.948654 43.66523400000001),Yes,Isabella,Isabella Reservation
"28 S Main St, Roosevelt, UT, 84066",,,1415030,40.2989371,-109.98924369999999,True,ROOFTOP,,,,,,Google,POINT (-109.9892437 40.2989371),Yes,Uintah and Ouray,Uintah and Ouray Reservation
"1025 Valley Ave NW, Puyallup, WA, 98371",1005.0,53.0,7048731,47.213093,-122.30663999999999,True,Exact,"1025 VALLEY AVE NW, PUYALLUP, WA, 98371",R,53.0,184719156.0,940010.0,Census,POINT (-122.30664 47.213093),Yes,Puyallup,Puyallup Reservation
"235 N Main St, Wahkon, MN, 56386",3017.0,95.0,1444994,46.119602,-93.52104,True,Exact,"235 MAIN ST, WAHKON, MN, 56386",L,27.0,163056054.0,970100.0,Census,POINT (-93.52104 46.119602),Yes,Mille Lacs,Mille Lacs Reservation
"68010 Vista Chino, Cathedral City, CA, 92234",,,2078037,33.8456404,-116.47530970000001,True,ROOFTOP,,,,,,Google,POINT (-116.4753097 33.8456404),Yes,Agua Caliente,Agua Caliente Indian Reservation
"711 Pow Wow Pkwy, Kinder, LA, 70648",,,7559922,30.541840399999998,-92.81993809999999,True,ROOFTOP,,,,,,Google,POINT (-92.81993809999999 30.5418404),Yes,Coushatta,Coushatta Off-Reservation Trust Land
"34 Cities Of Gold Rd, Santa Fe, NM, 87506",1056.0,49.0,801686,35.886722999999996,-106.018654,True,Exact,"34 CITIES OF GOLD RD, SANTA FE, NM, 87506",R,35.0,169410125.0,940600.0,Census,POINT (-106.018654 35.886723),Yes,Pojoaque,Pueblo of Pojoaque
"1110 Hospital Rd Ste 1, Belcourt, ND, 58316",,,7338011,48.8383216,-99.7500184,True,ROOFTOP,,,,,,Google,POINT (-99.7500184 48.8383216),Yes,Turtle Mountain,Turtle Mountain Reservation
"207 S Main St, Mahnomen, MN, 56557",,,1640629,47.3138825,-95.9688342,True,ROOFTOP,,,,,,Google,POINT (-95.9688342 47.3138825),Yes,White Earth,White Earth Reservation
"785 Hwy 59 S, Mahnomen, MN, 56557",,,7431502,47.3084159,-95.95933199999999,True,ROOFTOP,,,,,,Google,POINT (-95.95933199999999 47.3084159),Yes,White Earth,White Earth Reservation
"5048 Mt Baker Hwy, Deming, WA, 98244",,,1873033,48.8237182,-122.21447820000002,True,ROOFTOP,,,,,,Google,POINT (-122.2144782 48.8237182),Yes,Nooksack,Nooksack Reservation
"45830 Us Highway 2, Deer River, MN, 56636",2167.0,61.0,1407091,47.339603000000004,-93.814674,True,Non_Exact,"45830 US HWY 2, DEER RIVER, MN, 56636",L,27.0,162927299.0,940000.0,Census,POINT (-93.814674 47.339603),Yes,Leech Lake,Leech Lake Reservation
"144 S Zaragoza Rd, El Paso, TX, 79907",2006.0,141.0,7471683,31.690072999999998,-106.32828500000001,True,Non_Exact,"144 S ZARAGOZA RD, EL PASO, TX, 79907",R,48.0,632552258.0,3902.0,Census,POINT (-106.328285 31.690073),Yes,Ysleta del Sur,Ysleta del Sur Off-Reservation Trust Land
"105 E Main, Isle, MN, 56342",,,1406833,46.137713500000004,-93.46799809999999,True,ROOFTOP,,,,,,Google,POINT (-93.46799809999999 46.1377135),Yes,Mille Lacs,Mille Lacs Reservation
"780 US Hwy 5 E, Belcourt, ND, 58316",,,1411131,48.8392059,-99.74488740000001,True,GEOMETRIC_CENTER,,,,,,Google,POINT (-99.74488740000001 48.8392059),Yes,Turtle Mountain,Turtle Mountain Reservation
"122 E Pickard St, Mount Pleasant, MI, 48858",,,1424669,43.6116428,-84.77645509999999,True,ROOFTOP,,,,,,Google,POINT (-84.77645509999999 43.6116428),Yes,Isabella,Isabella Reservation
"107 S 7th St E, Riverton, WY, 82501",,,1416274,43.024337,-108.38171399999999,True,ROOFTOP,,,,,,Google,POINT (-108.381714 43.024337),Yes,Wind River,Wind River Reservation
"209 S Wapato Ave, Wapato, WA, 98951",,,7394155,46.4464811,-120.4194739,True,ROOFTOP,,,,,,Google,POINT (-120.4194739 46.4464811),Yes,Yakama Nation,Yakama Nation Reservation
"5200 E Ramon Rd Ste B5, Palm Springs, CA, 92264",1042.0,65.0,7459238,33.815903000000006,-116.50606499999999,True,Non_Exact,"5200 E RAMON RD, PALM SPRINGS, CA, 92264",L,6.0,194764535.0,941200.0,Census,POINT (-116.506065 33.81590300000001),Yes,Agua Caliente,Agua Caliente Indian Reservation
"1 Main Pueblo Rd, Taos, NM, 87571",,,1877015,36.441008399999994,-105.54690259999998,True,GEOMETRIC_CENTER,,,,,,Google,POINT (-105.5469026 36.44100839999999),Yes,Taos,Taos Pueblo
"3527 Monument Park Rd, Dodson, MT, 59524",,,7589316,48.0277543,-108.5317791,True,GEOMETRIC_CENTER,,,,,,Google,POINT (-108.5317791 48.0277543),Yes,Fort Belknap,Fort Belknap Reservation
"2253 W Mason St, Green Bay, WI, 54303",,,1755651,44.5233005,-88.08488559999999,True,ROOFTOP,,,,,,Google,POINT (-88.08488559999999 44.5233005),Yes,Oneida (WI),Oneida (WI) Reservation
"4348 State Road 70, Webster, WI, 54893",,,7553106,45.8106901,-92.19800699999999,True,ROOFTOP,,,,,,Google,POINT (-92.19800699999999 45.8106901),Yes,St. Croix,St. Croix Reservation
"7522 Valley Ave E, Puyallup, WA, 98371",,,1528351,47.215760499999995,-122.31048359999998,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-122.3104836 47.21576049999999),Yes,Puyallup,Puyallup Reservation
"24663 Angeline Ave, Webster, WI, 54893",1156.0,13.0,1873369,45.811626000000004,-92.20597,True,Exact,"24663 ANGELINE AVE, WEBSTER, WI, 54893",L,55.0,167462641.0,970600.0,Census,POINT (-92.20596999999999 45.811626),Yes,St. Croix,St. Croix Reservation
"1721 W Canal St, Milwaukee, WI, 53233",1038.0,79.0,2908677,43.031433,-87.93565,True,Non_Exact,"1721 W CANAL ST, MILWAUKEE, WI, 53233",L,55.0,77769728.0,186800.0,Census,POINT (-87.93565 43.031433),Yes,Forest County Potawatomi,Forest County Potawatomi Off-Reservation Trust Land
"401 E 2nd St, Ogema, MN, 56569",,,526881,47.1035994,-95.92675440000001,True,ROOFTOP,,,,,,Google,POINT (-95.92675440000001 47.1035994),Yes,White Earth,White Earth Reservation
"1 Main St, Altamont, UT, 84001",,,111693,40.3593956,-110.2265897,True,GEOMETRIC_CENTER,,,,,,Google,POINT (-110.2265897 40.3593956),Yes,Uintah and Ouray,Uintah and Ouray Reservation
"6212 29th St NE, Tacoma, WA, 98422",1008.0,53.0,7386100,47.282771999999994,-122.36451000000001,True,Exact,"6212 29TH ST NE, TACOMA, WA, 98422",R,53.0,624217663.0,940005.0,Census,POINT (-122.36451 47.28277199999999),Yes,Puyallup,Puyallup Reservation
"611 S Palm Canyon Dr Ste 18, Palm Springs, CA, 92264",1003.0,65.0,7602355,33.801353000000006,-116.54109,True,Non_Exact,"611 E PALM CANYON DR, PALM SPRINGS, CA, 92264",R,6.0,194762186.0,940800.0,Census,POINT (-116.54109 33.80135300000001),Yes,Agua Caliente,Agua Caliente Indian Reservation
"38666 Us Highway 169, Onamia, MN, 56359",,,7505218,46.107871,-93.6443488,True,ROOFTOP,,,,,,Google,POINT (-93.6443488 46.107871),Yes,Mille Lacs,Mille Lacs Reservation
"3114 River Rd E, Tacoma, WA, 98443",3006.0,53.0,1528362,47.234184,-122.38853999999999,True,Exact,"3114 RIVER RD E, TACOMA, WA, 98443",R,53.0,184627436.0,940004.0,Census,POINT (-122.38854 47.234184),Yes,Puyallup,Puyallup Reservation
"1115 4th Ave N, Wolf Point, MT, 59201",4006.0,85.0,2709919,48.101112,-105.64281000000001,True,Exact,"1115 4TH AVE N, WOLF POINT, MT, 59201",L,30.0,611295588.0,940001.0,Census,POINT (-105.64281 48.101112),Yes,Fort Peck,Fort Peck Indian Reservation
"300 N 1st Ave, Poplar, MT, 59255",4064.0,85.0,81075,48.11023,-105.19548999999999,True,Non_Exact,"300 1ST AVE W, POPLAR, MT, 59255",L,30.0,642071801.0,940002.0,Census,POINT (-105.19549 48.11023),Yes,Fort Peck,Fort Peck Indian Reservation
"4020 State Route 105, Tokeland, WA, 98590",,,2098734,46.7284003,-124.035242,True,ROOFTOP,,,,,,Google,POINT (-124.035242 46.7284003),Yes,Shoalwater Bay,Shoalwater Bay Indian Reservation
"7121 Waller Rd E, Tacoma, WA, 98443",5010.0,53.0,1530344,47.19269,-122.38909,True,Exact,"7121 WALLER RD E, TACOMA, WA, 98443",R,53.0,184653115.0,940004.0,Census,POINT (-122.38909 47.19269),Yes,Puyallup,Puyallup Reservation
"16849 102nd St SE, Hankinson, ND, 58041",,,1832472,45.938212299999996,-96.83577609999999,True,ROOFTOP,,,,,,Google,POINT (-96.83577609999999 45.9382123),Yes,Lake Traverse,Lake Traverse Reservation
"102 Paseo Del Pueblo Norte Ste C, Taos, NM, 87571",5035.0,55.0,4037656,36.40736,-105.57327,True,Non_Exact,"102 PSO DEL PUEBLO NORTE, TAOS, NM, 87571",L,35.0,159919311.0,940100.0,Census,POINT (-105.57327 36.40736),Yes,Taos,Taos Pueblo
"2132 Warm Springs St, Warm Springs, OR, 97761",,,127248,44.763048299999994,-121.26436899999999,True,ROOFTOP,,,,,,Google,POINT (-121.264369 44.76304829999999),Yes,Warm Springs,Warm Springs Reservation
"104 N Main St, Mount Pleasant, MI, 48858",2007.0,73.0,1525813,43.60434,-84.77667,True,Non_Exact,"104 S MAIN ST, MT PLEASANT, MI, 48858",L,26.0,110217836.0,940500.0,Census,POINT (-84.77667 43.60434),Yes,Isabella,Isabella Reservation
"3918 E Portland Ave, Tacoma, WA, 98404",,,286036,47.221247,-122.4082352,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-122.4082352 47.221247),Yes,Puyallup,Puyallup Reservation
"100 S Mission St Ste C, Mount Pleasant, MI, 48858",,,1526096,43.6040227,-84.7681529,True,ROOFTOP,,,,,,Google,POINT (-84.7681529 43.6040227),Yes,Isabella,Isabella Reservation
"2615 E Portland Ave, Tacoma, WA, 98421",,,7082203,47.239925899999996,-122.4104524,True,ROOFTOP,,,,,,Google,POINT (-122.4104524 47.2399259),Yes,Puyallup,Puyallup Reservation
"161 Main St, Mission, SD, 57555",3042.0,121.0,7081592,43.306644,-100.65854,True,Exact,"161 MAIN ST, MISSION, SD, 57555",R,46.0,200247923.0,940200.0,Census,POINT (-100.65854 43.306644),Yes,Rosebud,Rosebud Indian Reservation
"2514 W Mason St, Green Bay, WI, 54303",,,1468645,44.524614,-88.094944,True,ROOFTOP,,,,,,Google,POINT (-88.094944 44.524614),Yes,Oneida (WI),Oneida (WI) Reservation
"392 State Route 264, Polacca, AZ, 86042",,,748198,35.80775429999999,-110.41693000000001,True,ROOFTOP,,,,,,Google,POINT (-110.41693 35.80775429999999),Yes,Hopi,Hopi Reservation
"6206 Ford Wellpinit Rd, Wellpinit, WA, 99040",2067.0,65.0,388279,47.88995,-117.989525,True,Exact,"6206 FORD WELLPINIT RD, WELLPINIT, WA, 99040",R,53.0,638574009.0,941000.0,Census,POINT (-117.989525 47.88995),Yes,Spokane,Spokane Reservation
"901 Golden Ln, Reno, NV, 89502",1037.0,31.0,1454210,39.521805,-119.78671999999999,True,Exact,"901 GOLDEN LN, RENO, NV, 89502",R,32.0,107052272.0,2107.0,Census,POINT (-119.78672 39.521805),Yes,Reno-Sparks,Reno-Sparks Indian Colony
"110 N 6th St E, Riverton, WY, 82501",,,7615707,43.0251711,-108.3836777,True,ROOFTOP,,,,,,Google,POINT (-108.3836777 43.0251711),Yes,Wind River,Wind River Reservation
"3201 Goodman Rd, Yakima, WA, 98903",2000.0,77.0,1497494,46.546993,-120.5014,True,Exact,"3201 GOODMAN RD, YAKIMA, WA, 98903",L,53.0,640175834.0,940003.0,Census,POINT (-120.5014 46.546993),Yes,Yakama Nation,Yakama Nation Reservation
"123 S Main St, Eagle Butte, SD, 57625",1031.0,41.0,756371,44.996696,-101.234764,True,Exact,"123 MAIN ST, EAGLE BUTTE, SD, 57625",L,46.0,198348676.0,941500.0,Census,POINT (-101.234764 44.996696),Yes,Cheyenne River,Cheyenne River Reservation
